Family,Species,Common,N,Length_m,CN_fin,CN_mus,Offset_C,Offset_N
Catostomidae,Catostomus catostomus,Longnose Sucker,23,151 (46),3.59 (0.19),3.62 (0.3),1.03 (0.62),-0.46 (0.43)
Catostomidae,Moxostoma macrolepidotum,Shorthead Redhorse,9,292 (84),3.61 (0.19),3.43 (0.21),1.74 (0.65),-0.96 (0.41)
Catostomidae,Catostomus commersonni,White Sucker,42,154 (108),3.62 (0.21),3.48 (0.29),1.25 (0.59),-0.31 (0.6)
Centrarchidae,Micropterus dolomieu,Smallmouth Bass,6,106 (50),3.81 (0.11),3.29 (0.06),0.28 (0.07),-0.3 (0.2)
Cyprinidae,Notropis dorsalis,Bigmouth Shiner,8,55 (8),4.26 (0.28),3.98 (0.16),0.88 (0.69),-0.54 (0.19)
Cyprinidae,Hybognathus hankinsoni,Brassy Minnow,16,57 (12),3.56 (0.35),3.76 (0.6),1.11 (0.4),-0.81 (0.27)
Cyprinidae,Luxilus cornutus,Common Shiner,14,94 (16),3.92 (0.3),3.46 (0.42),1.2 (0.49),-0.3 (0.3)
Cyprinidae,Semolitus atromaculatus,Creek Chub,59,115 (33),3.78 (0.25),3.48 (0.26),1.13 (0.72),-0.47 (0.54)
Cyprinidae,Pimephales promelas,Fathead Minnow,16,59 (9),3.77 (0.42),3.54 (0.26),1.55 (0.43),-0.88 (0.35)
Cyprinidae,Nocomis biguttatus,Hornyhead Chub,17,104 (40),3.81 (0.46),3.71 (0.54),0.23 (0.4),-0.43 (0.13)
Cyprinidae,Rhinichthyes cataractae,Longnose Dace,35,78 (16),4.12 (0.95),3.61 (0.64),1.09 (0.57),-0.83 (0.47)
Cyprinidae,Cyprinella lutrensis,Red Shiner,9,58 (10),3.81 (0.37),3.99 (0.23),0.57 (0.38),-0.37 (0.17)
Cyprinidae,Notropis stramineus,Sand Shiner,12,54 (8),4.26 (0.86),3.84 (0.19),1.09 (0.31),-0.88 (0.57)
Percidae,Etheostoma nigrum,Johnny Darter,16,51 (11),3.73 (0.68),3.61 (0.13),0.79 (0.29),-0.86 (0.3)
Sciaenidae,Aplodinotus grunniens,Freshwater Drum,5,416 (26),3.2 (0.06),3.25 (0.16),1.77 (0.23),-0.7 (0.17)
