common_name,n,R2_C,intc_C,coef_C,Pval_C,R2_N,intc_N,coef_N,Pval_N
Longnose Sucker,18,0.92,-2.22,0.96 (0.8-1.11),<0.001,0.92,1.94,0.83 (0.69-0.96),<0.001
Shorthead Redhorse,7,0.9,21.61,1.92 (1.19-2.65),0.001,0.99,-1.2,1.22 (1.09-1.36),<0.001
White Sucker,34,0.73,-12.08,0.58 (0.45-0.71),<0.001,0.87,2.42,0.77 (0.66-0.87),<0.001
Smallmouth Bass,5,0.99,-0.12,1.01 (0.79-1.22),0.001,0.99,0.69,0.96 (0.77-1.16),0.001
Bigmouth Shiner,6,0.85,-17.44,0.37 (0.15-0.6),0.009,0.89,0.84,0.98 (0.49-1.46),0.005
Brassy Minnow,13,0.86,-7.36,0.78 (0.57-0.99),<0.001,0.96,2.25,0.83 (0.71-0.95),<0.001
Common Shiner,11,0.88,1.08,1.09 (0.79-1.4),<0.001,0.85,-0.56,1.09 (0.74-1.43),<0.001
Creek Chub,47,0.58,-5.18,0.84 (0.63-1.06),<0.001,0.8,2.68,0.78 (0.67-0.9),<0.001
Fathead Minnow,13,0.92,0.33,1.07 (0.85-1.28),<0.001,0.94,0.28,1.06 (0.87-1.24),<0.001
Hornyhead Chub,14,0.92,-3.83,0.85 (0.69-1.02),<0.001,0.98,1.56,0.9 (0.81-0.99),<0.001
Longnose Dace,28,0.74,-12.33,0.56 (0.43-0.7),<0.001,0.94,1.9,0.87 (0.79-0.96),<0.001
Red Shiner,7,0.91,-8.34,0.71 (0.45-0.97),0.001,0.45,3.48,0.72 (-0.2-1.65),0.101
Sand Shiner,10,0.86,-13.12,0.55 (0.37-0.73),<0.001,0.76,6.58,0.45 (0.24-0.65),0.001
Johnny Darter,13,0.87,-10.17,0.66 (0.49-0.83),<0.001,0.83,0.05,1.08 (0.75-1.41),<0.001
Freshwater Drum,4,0.93,-10.69,0.64 (0.1-1.19),0.037,0.84,4.7,0.72 (-0.22-1.66),0.081
Global,230,0.8,-3.6,0.9 (0.84-0.96),<0.001,0.91,1.54,0.9 (0.86-0.94),<0.001
